PremisCode,PremisDescription
210,RESTAURANT/FAST FOOD
203,OTHER BUSINESS
715,HORSE RACING/SANTA ANITA PARK*
877,MTA - ORANGE LINE - TAMPA
214,"BUS DEPOT/TERMINAL, OTHER THAN MTA"
247,CAR WASH
302,FACTORY
722,COLLEGE/JUNIOR COLLEGE/UNIVERSITY
213,WAREHOUSE
756,MUSCLE BEACH
811,"OTHER RR TRAIN (UNION PAC, SANTE FE ETC"
903,MTA - RED LINE - 7TH AND METRO CENTER
252,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)"
154,TRAIN TRACKS
913,MTA - RED LINE - NORTH HOLLYWOOD
718,MASSAGE PARLOR
246,METHADONE CLINIC
507,CONDOMINIUM/TOWNHOUSE
158,TRANSIENT ENCAMPMENT
706,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB
607,BANKING INSIDE MARKET-STORE *
508,FRAT HOUSE/SORORITY/DORMITORY
225,RECORD-CD MUSIC/COMPUTER GAME STORE
745,WATER FACILITY
511,PROJECT/TENEMENT/PUBLIC HOUSING
711,"ARCADE,GAME ROOM/VIDEO GAMES (EXAMPLE CHUCKIE CHEESE)*"
209,EQUIPMENT RENTAL
519,SHORT-TERM VACATION RENTAL
944,MTA - EXPO LINE - EXPO PARK/USC
742,"SPORTS VENUE, OTHER"
946,MTA - EXPO LINE - EXPO/WESTERN
935,MTA - BLUE LINE - WASHINGTON
102,SIDEWALK
401,MINI-MART
882,MTA - ORANGE LINE - SHERMAN WAY
222,LAUNDROMAT
835,7TH AND METRO CENTER (NOT LINE SPECIFIC)
712,COLISEUM
146,PATIO*
734,HOCKEY RINK/ICE HOCKEY
120,STORAGE SHED
606,DRIVE THRU BANKING (WINDOW)*
251,RECYCLING CENTER
703,ENTERTAINMENT/COMEDY CLUB (OTHER)
151,TOW YARD*
244,TOBACCO SHOP
408,AUTO SUPPLY STORE*
748,CULTURAL SIGNIFICANCE/MONUMENT
123,PARKING UNDERGROUND/BUILDING
504,OTHER RESIDENCE
413,FURNITURE STORE
967,MTA - GOLD LINE - CHINATOWN
212,TRANSPORTATION FACILITY (AIRPORT)
149,RIVER BED*
604,FINANCE COMPANY
116,OTHER/OUTSIDE
879,MTA - ORANGE LINE - DE SOTO
103,ALLEY
415,THE GROVE
933,MTA - BLUE LINE - GRAND/LATTC
256,NULL
206,TV/RADIO/APPLIANCE
804,GREYHOUND OR INTERSTATE BUS
922,MTA - PURPLE LINE - WILSHIRE/WESTERN
228,BOWLING ALLEY*
517,MISSIONS/SHELTERS
218,BEAUTY/BARBER SHOP
810,AMTRAK TRAIN
417,THE BEVERLY CONNECTION
231,DAY CARE/CHILDREN*
915,MTA - PURPLE LINE - UNION STATION
708,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE)
601,SAVINGS & LOAN
141,CEMETARY*
403,DRUG STORE
513,ABATEMENT LOCATION
140,BALCONY*
720,JUNIOR HIGH SCHOOL
739,SPORTS ARENA
406,OTHER STORE
301,GAS STATION
235,PHARMACY INSIDE STORE OR SUPERMARKET*
934,MTA - BLUE LINE - SAN PEDRO
754,MUSEUM
956,MTA - GREEN LINE - AVALON
736,SKATEBOARD FACILITY/SKATEBOARD PARK*
411,PET STORE
505,MOTEL
243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)"
207,BAR/COCKTAIL/NIGHTCLUB
970,MTA - GOLD LINE - SOUTHWEST MUSEUM
405,CLOTHING STORE
156,VALET
234,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*
906,MTA - RED LINE - VERMONT/BEVERLY
950,MTA - EXPO LINE - LA CIENEGA/JEFFERSON
249,NURSERY/FLOWER SHOP
201,JEWELRY STORE
902,MTA - RED LINE - PERSHING SQUARE
710,OTHER PREMISE
738,LIBRARY
724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*
751,WEBSITE
917,MTA - PURPLE LINE - PERSHING SQUARE
236,VISION CARE FACILITY*
957,MTA - GREEN LINE - HARBOR FWY
966,MTA - GOLD LINE - UNION STATION
707,GARAGE/CARPORT
936,MTA - BLUE LINE - VERNON
962,MTA - GOLD LINE - SOTO
725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"
509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME
870,MTA - ORANGE LINE - VALLEY COLLEGE
909,MTA - RED LINE - HOLLYWOOD/WESTERN
968,MTA - GOLD LINE - LINCOLN/CYPRESS
953,MTA - EXPO LINE - EXPO/SEPULVEDA
157,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)"
121,YARD (RESIDENTIAL/BUSINESS)
127,TRASH CAN/TRASH DUMPSTER
139,AMUSEMENT PARK*
951,MTA - EXPO LINE - PALMS
912,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY
253,MORTUARY
402,MARKET
138,STAIRWELL*
204,MANUFACTURING COMPANY
834,LA UNION STATION (NOT LINE SPECIFIC)
947,MTA - EXPO LINE - EXPO/CRENSHAW
920,MTA - PURPLE LINE - WILSHIRE/VERMONT
515,APARTMENT/CONDO COMMON LAUNDRY ROOM
135,MTA PROPERTY OR PARKING LOT
114,TAXI
952,MTA - EXPO LINE - WESTWOOD/RANCHO PARK
942,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE
512,FOSTER HOME BOYS OR GIRLS*
921,MTA - PURPLE LINE - WILSHIRE/NORMANDIE
802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH
109,PARK/PLAYGROUND
106,TUNNEL
241,ENERGY PLANT/FACILITY
414,BOOK STORE
727,SHOPPING MALL (COMMON AREA)
126,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)"
911,MTA - RED LINE - HOLLYWOOD/HIGHLAND
407,HARDWARE/BUILDING SUPPLY
733,BAR/SPORTS BAR (OPEN DAY & NIGHT)
516,SINGLE RESIDENCE OCCUPANCY (SRO'S) LOCATIONS
217,AUTO REPAIR SHOP
809,METROLINK TRAIN
202,LIQUOR STORE
412,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)"
147,POOL-PUBLIC/OUTDOOR OR INDOOR*
905,MTA - RED LINE - WILSHIRE/VERMONT
144,GOLF COURSE*
105,PEDESTRIAN OVERCROSSING
221,PUBLIC STORAGE
205,GUN/SPORTING GOODS
714,DODGER STADIUM
713,CONVENTION CENTER
728,ELEVATOR
730,SYNAGOGUE/TEMPLE
233,TATTOO PARLOR*
208,AUTO SALES LOT
719,MEDICAL/DENTAL OFFICES
510,NURSING/CONVALESCENT/RETIREMENT HOME
518,TRANSITIONAL HOUSING/HALFWAY HOUSE
948,MTA - EXPO LINE - FARMDALE
931,MTA - BLUE LINE - 7TH AND METRO CENTER
871,MTA - ORANGE LINE - WOODMAN
108,PARKING LOT
702,OFFICE BUILDING/OFFICE
129,"TERMINAL, OTHER THAN MTA"
506,ABANDONED BUILDING ABANDONED HOUSE
303,OIL REFINERY
919,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK
418,NULL
721,HIGH SCHOOL
239,MEDICAL MARIJUANA FACILITIES/BUSINESSES
603,CREDIT UNION
219,CLEANER/LAUNDROMAT
107,VACANT LOT
753,DETENTION/JAIL FACILITY
941,MTA - EXPO LINE - PICO
245,CATERING/ICE CREAM TRUCK
602,BANK
755,VETERINARIAN/ANIMAL HOSPITAL
148,PUBLIC RESTROOM/OUTSIDE*
220,NAIL SALON
897,MTA - SILVER LINE - HARBOR GATEWAY TRANSIT CTR
709,PUBLIC RESTROOM(INDOORS-INSIDE)
230,DAY CARE/ADULTS*
501,SINGLE FAMILY DWELLING
801,MTA BUS
142,DRIVE THRU*
254,STUDIO (FILM/PHOTOGRAPHIC/MUSIC)
119,"PORCH, RESIDENTIAL"
111,BUS-CHARTER/PRIVATE
735,NIGHT CLUB (OPEN EVENINGS ONLY)
732,POST OFFICE
741,STAPLES CENTER *
145,MAIL BOX
907,MTA - RED LINE - VERMONT/SANTA MONICA
112,"BUS, SCHOOL, CHURCH"
110,FREEWAY
900,MTA - RED LINE - UNION STATION
875,MTA - ORANGE LINE - BALBOA
716,THEATRE/MOVIE
118,CONSTRUCTION SITE
701,HOSPITAL
404,DEPARTMENT STORE
101,STREET
248,CELL PHONE STORE
410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*"
726,POLICE FACILITY
117,BEACH
945,MTA - EXPO LINE - EXPO/VERMONT
502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"
255,"AUTO DEALERSHIP (CHEVY, FORD, BMW, MERCEDES, ETC.)"
409,BEAUTY SUPPLY STORE
122,"VEHICLE, PASSENGER/TRUCK"
124,BUS STOP
211,PAWN SHOP
216,SWAP MEET
868,MTA - ORANGE LINE - NORTH HOLLYWOOD
304,GARMENT MANUFACTURER
958,MTA - GREEN LINE - AVIATION/LAX
901,MTA - RED LINE - CIVIC CENTER/GRAND PARK
514,GROUP HOME
215,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA"
731,MOSQUE*
229,CHECK CASHING*
723,PRIVATE SCHOOL/PRESCHOOL
152,UNDERPASS/BRIDGE*
744,HIGH-RISE BUILDING
242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC."
717,HEALTH SPA/GYM
750,CYBERSPACE
803,RETIRED (DUPLICATE) DO NOT USE THIS CODE
752,FIRE STATION
869,MTA - ORANGE LINE - LAUREL CANYON
885,MTA - ORANGE LINE - CHATSWORTH
758,HANDBALL COURTS
704,ELEMENTARY SCHOOL
416,THE BEVERLY CENTER
155,DAM/RESERVOIR
740,OTHER PLACE OF WORSHIP
104,DRIVEWAY
705,SLIPS/DOCK/MARINA/BOAT
232,"DELIVERY SERVICE (FED EX, UPS, COURIERS,COURIER SERVICE)*"
971,MTA - GOLD LINE - HIGHLAND PARK
908,MTA - RED LINE - VERMONT/SUNSET
904,MTA - RED LINE - WESTLAKE/MACARTHUR PARK
605,AUTOMATED TELLER MACHINE (ATM)
932,MTA - BLUE LINE - PICO
729,SPECIALTY SCHOOL/OTHER
910,MTA - RED LINE - HOLLYWOOD/VINE
128,BUS STOP/LAYOVER (ALSO QUERY 124)
954,MTA - EXPO LINE - EXPO/BUNDY
503,HOTEL
237,HOSPICE
136,"OTHER INTERSTATE, CHARTER BUS"
872,MTA - ORANGE LINE - VAN NUYS
250,COMPUTER SERVICES/REPAIRS/SALES
961,MTA - GOLD LINE - INDIANA
880,MTA - ORANGE LINE - CANOGA
115,AIRCRAFT
238,TELECOMMUNICATION FACILITY/LOCATION
937,MTA - BLUE LINE - 103RD/WATTS TOWERS
963,MTA - GOLD LINE - MARIACHI PLAZA
969,MTA - GOLD LINE - HERITAGE SQ
940,MTA - EXPO LINE - 7TH AND METRO CENTER
918,MTA - PURPLE LINE - 7TH AND METRO CENTER
125,PAY PHONE
964,MTA - GOLD LINE - PICO/ALISO
884,MTA - ORANGE LINE - NORDHOFF
757,BASKETBALL COURTS
608,BANK DROP BOX/MONEY DROP-OUTSIDE OF BANK*
150,TOOL SHED*
943,MTA - EXPO LINE - JEFFERSON/USC
743,MASS GATHERING LOCATION
896,MTA - SILVER LINE - ROSECRANS
874,MTA - ORANGE LINE - WOODLEY
876,MTA - ORANGE LINE - RESEDA
890,MTA - SILVER LINE - UNION STATION
805,RETIRED (DUPLICATE) DO NOT USE THIS CODE
737,SKATING RINK*
883,MTA - ORANGE LINE - ROSCOE
746,SEWAGE FACILITY/PIPE
893,MTA - SILVER LINE - SLAUSON
895,MTA - SILVER LINE - HARBOR FWY
223,VIDEO RENTAL STORE
113,"TRUCK, COMMERICAL"
224,SURPLUS SURVIVAL STORE
873,MTA - ORANGE LINE - SEPULVEDA
976,NULL
143,ESCALATOR*
894,MTA - SILVER LINE - MANCHESTER
305,CHEMICAL STORAGE/MANUFACTURING PLANT
